,hidden_layer_sizes,activation,solver,learning_rate_init,score
0,10,tanh,adam,0.001,0.6538461538461539
1,10,logistic,lbfgs,0.001,0.6538461538461539
2,10,relu,lbfgs,0.01,0.6153846153846154
3,100,tanh,adam,0.1,0.6153846153846154
4,10,relu,sgd,0.001,0.5769230769230769
5,10,relu,lbfgs,0.1,0.5769230769230769
6,100,tanh,sgd,0.1,0.5769230769230769
7,100,tanh,lbfgs,0.1,0.5769230769230769
8,100,tanh,lbfgs,0.001,0.5769230769230769
9,1000,identity,adam,0.1,0.5769230769230769
10,1000,relu,adam,0.01,0.5769230769230769
11,1000,logistic,lbfgs,0.01,0.5769230769230769
12,10,relu,sgd,0.1,0.5384615384615384
13,10,logistic,adam,0.01,0.5384615384615384
14,10,logistic,adam,0.001,0.5384615384615384
15,10,relu,lbfgs,0.001,0.5384615384615384
16,100,relu,sgd,0.01,0.5384615384615384
17,100,identity,adam,0.1,0.5384615384615384
18,100,logistic,adam,0.001,0.5384615384615384
19,100,tanh,adam,0.001,0.5384615384615384
20,100,relu,lbfgs,0.1,0.5384615384615384
21,100,relu,lbfgs,0.01,0.5384615384615384
22,1000,tanh,sgd,0.01,0.5384615384615384
23,1000,relu,adam,0.1,0.5384615384615384
24,1000,logistic,lbfgs,0.1,0.5384615384615384
25,1000,logistic,lbfgs,0.001,0.5384615384615384
26,1000,tanh,lbfgs,0.1,0.5384615384615384
27,1000,tanh,lbfgs,0.01,0.5384615384615384
28,10,logistic,sgd,0.1,0.5
29,10,tanh,sgd,0.001,0.5
30,10,relu,sgd,0.01,0.5
31,10,logistic,adam,0.1,0.5
32,10,identity,lbfgs,0.1,0.5
33,10,logistic,lbfgs,0.1,0.5
34,10,tanh,lbfgs,0.01,0.5
35,100,tanh,sgd,0.001,0.5
36,100,relu,sgd,0.1,0.5
37,100,relu,sgd,0.001,0.5
38,100,logistic,adam,0.1,0.5
39,100,relu,adam,0.01,0.5
40,100,logistic,lbfgs,0.001,0.5
41,100,tanh,lbfgs,0.01,0.5
42,100,relu,lbfgs,0.001,0.5
43,1000,tanh,sgd,0.1,0.5
44,1000,relu,sgd,0.01,0.5
45,1000,logistic,adam,0.001,0.5
46,10,logistic,sgd,0.001,0.46153846153846156
47,10,tanh,sgd,0.1,0.46153846153846156
48,10,identity,adam,0.01,0.46153846153846156
49,10,tanh,adam,0.1,0.46153846153846156
50,10,tanh,adam,0.01,0.46153846153846156
51,10,relu,adam,0.1,0.46153846153846156
52,10,relu,adam,0.001,0.46153846153846156
53,100,logistic,sgd,0.1,0.46153846153846156
54,100,tanh,sgd,0.01,0.46153846153846156
55,100,identity,adam,0.01,0.46153846153846156
56,100,identity,adam,0.001,0.46153846153846156
57,100,tanh,adam,0.01,0.46153846153846156
58,100,relu,adam,0.1,0.46153846153846156
59,100,relu,adam,0.001,0.46153846153846156
60,100,logistic,lbfgs,0.1,0.46153846153846156
61,100,logistic,lbfgs,0.01,0.46153846153846156
62,1000,relu,sgd,0.001,0.46153846153846156
63,1000,identity,adam,0.01,0.46153846153846156
64,1000,identity,adam,0.001,0.46153846153846156
65,1000,logistic,adam,0.1,0.46153846153846156
66,1000,logistic,adam,0.01,0.46153846153846156
67,1000,tanh,adam,0.1,0.46153846153846156
68,1000,relu,adam,0.001,0.46153846153846156
69,1000,tanh,lbfgs,0.001,0.46153846153846156
70,1000,relu,lbfgs,0.1,0.46153846153846156
71,1000,relu,lbfgs,0.01,0.46153846153846156
72,1000,relu,lbfgs,0.001,0.46153846153846156
73,10,identity,sgd,0.1,0.4230769230769231
74,10,tanh,sgd,0.01,0.4230769230769231
75,10,identity,adam,0.1,0.4230769230769231
76,10,identity,adam,0.001,0.4230769230769231
77,10,relu,adam,0.01,0.4230769230769231
78,10,identity,lbfgs,0.01,0.4230769230769231
79,10,identity,lbfgs,0.001,0.4230769230769231
80,10,logistic,lbfgs,0.01,0.4230769230769231
81,10,tanh,lbfgs,0.1,0.4230769230769231
82,100,identity,sgd,0.1,0.4230769230769231
83,100,logistic,sgd,0.001,0.4230769230769231
84,100,identity,lbfgs,0.1,0.4230769230769231
85,100,identity,lbfgs,0.01,0.4230769230769231
86,100,identity,lbfgs,0.001,0.4230769230769231
87,1000,identity,sgd,0.1,0.4230769230769231
88,1000,identity,sgd,0.001,0.4230769230769231
89,1000,logistic,sgd,0.1,0.4230769230769231
90,1000,logistic,sgd,0.001,0.4230769230769231
91,1000,tanh,sgd,0.001,0.4230769230769231
92,1000,relu,sgd,0.1,0.4230769230769231
93,1000,tanh,adam,0.01,0.4230769230769231
94,1000,tanh,adam,0.001,0.4230769230769231
95,1000,identity,lbfgs,0.1,0.4230769230769231
96,1000,identity,lbfgs,0.01,0.4230769230769231
97,1000,identity,lbfgs,0.001,0.4230769230769231
98,10,identity,sgd,0.01,0.38461538461538464
99,10,identity,sgd,0.001,0.38461538461538464
100,10,logistic,sgd,0.01,0.38461538461538464
101,10,tanh,lbfgs,0.001,0.38461538461538464
102,100,identity,sgd,0.001,0.38461538461538464
103,100,logistic,sgd,0.01,0.38461538461538464
104,100,logistic,adam,0.01,0.38461538461538464
105,1000,identity,sgd,0.01,0.38461538461538464
106,1000,logistic,sgd,0.01,0.38461538461538464
107,100,identity,sgd,0.01,0.34615384615384615
